station,SOC provided,whether_electrified
72,7022.865023,FALSE
79,4011.153387,FALSE
82,1352.849932,FALSE
83,1682.888267,FALSE
116,7157.159622,FALSE
119,255.7316181,FALSE
120,1041.634701,FALSE
127,14546.61873,TRUE
128,17930.97803,TRUE
143,3136.627781,FALSE
144,960.271494,FALSE
146,7244.608559,TRUE
150,3272.019046,FALSE
151,20470.74971,TRUE
152,7756.209741,TRUE
153,5056.151308,FALSE
157,2245.604666,FALSE
161,8410.532129,FALSE
164,4237.328311,FALSE
167,6115.515814,FALSE
168,15819.77101,TRUE
173,14228.20547,TRUE
174,5171.902438,FALSE
195,5405.722611,FALSE
212,9242.514237,FALSE
216,609.7419359,FALSE
217,3946.301455,FALSE
223,6757.138433,TRUE
224,509.8504397,FALSE
228,3656.154629,FALSE
229,17656.97967,TRUE
232,3561.598584,FALSE
236,7673.496397,FALSE
237,8496.045842,FALSE
238,8279.660455,TRUE
239,2002.021836,FALSE
241,1212.71949,FALSE
242,2148.342447,FALSE
243,1572.262625,FALSE
244,1218.425495,FALSE
245,566.0264417,FALSE
247,4749.374322,FALSE
248,2718.007007,TRUE
249,5828.86476,TRUE
251,14397.54401,TRUE
252,7263.49348,TRUE
253,4119.818707,FALSE
254,3854.052683,FALSE
257,5977.907313,FALSE
258,1980.554943,FALSE
259,5886.874873,FALSE
260,2483.648922,FALSE
261,2209.596858,FALSE
262,1094.058345,FALSE
264,3023.707843,FALSE
265,6634.34617,FALSE
266,1821.970619,FALSE
267,6267.669095,FALSE
268,5641.371034,FALSE
270,1123.507856,FALSE
274,2225.787444,FALSE
275,1119.186606,FALSE
276,3623.208267,FALSE
278,1764.231286,FALSE
279,5949.449842,FALSE
280,5883.566772,TRUE
281,10923.87949,TRUE
282,1718.940993,FALSE
284,16035.65103,TRUE
285,16948.48107,TRUE
289,1062.685473,FALSE
291,1881.576815,FALSE
293,21725.28361,TRUE
295,2931.768257,FALSE
296,10606.76412,TRUE
297,7900.583167,FALSE
301,5698.413921,FALSE
302,2780.486589,FALSE
303,5768.924644,FALSE
304,7720.540142,FALSE
305,9322.581835,TRUE
306,4301.950178,FALSE
307,4376.574364,FALSE
308,3067.884579,FALSE
309,10103.58956,TRUE
310,1906.205555,FALSE
311,3107.150845,FALSE
312,6501.365043,FALSE
313,1787.437426,FALSE
314,2032.111407,FALSE
315,16516.21088,TRUE
316,5377.587363,TRUE
317,5269.176454,FALSE
319,12441.24719,TRUE
320,4017.306971,FALSE
321,2454.107273,FALSE
322,2154.158114,FALSE
323,3230.54904,FALSE
324,1625.110066,FALSE
325,5333.618996,FALSE
326,6596.891469,FALSE
327,20666.53949,TRUE
328,9468.837524,TRUE
330,3182.663838,FALSE
331,2171.439301,FALSE
332,6622.957439,TRUE
334,9311.40666,FALSE
335,8464.60022,TRUE
336,12644.78179,TRUE
337,2494.237261,FALSE
339,1469.708891,FALSE
340,5568.14888,TRUE
341,1167.233478,FALSE
342,1823.674286,FALSE
343,1679.323273,FALSE
344,902.5523389,FALSE
345,7944.339461,FALSE
346,6810.926908,FALSE
347,14917.12117,TRUE
348,5272.990823,FALSE
349,2355.077979,FALSE
350,3450.552306,FALSE
351,3396.761411,FALSE
353,1511.628215,FALSE
354,1180.300374,FALSE
355,5734.105211,FALSE
356,4553.772006,TRUE
357,4238.092358,FALSE
358,19438.1592,TRUE
359,13367.06748,TRUE
360,2784.286378,FALSE
361,5096.274761,FALSE
362,2878.341127,FALSE
363,13710.36558,TRUE
364,1158.578382,FALSE
365,5623.86848,TRUE
366,1678.55155,FALSE
368,20703.15936,TRUE
369,5764.878141,FALSE
372,562.9510872,FALSE
373,524.2013381,FALSE
376,3734.694224,FALSE
377,5623.676371,FALSE
379,10860.76815,TRUE
380,8859.508741,FALSE
382,14611.56059,TRUE
383,11463.18266,TRUE
384,2069.533574,FALSE
385,4963.035954,FALSE
386,4237.175214,FALSE
387,29700.0839,TRUE
388,9635.033992,TRUE
389,2125.833631,FALSE
390,2066.705921,FALSE
391,1937.383406,FALSE
392,3238.183786,FALSE
393,2773.635206,FALSE
394,4426.177032,FALSE
395,6782.607654,TRUE
396,6905.135462,TRUE
397,4819.424352,TRUE
398,2641.638686,FALSE
399,1385.360812,FALSE
400,1070.773291,FALSE
401,6649.274322,FALSE
402,15046.4757,TRUE
403,5145.35242,FALSE
405,12497.82441,TRUE
406,2003.455095,FALSE
407,991.1244316,FALSE
408,1905.814241,FALSE
409,565.3452934,FALSE
410,13856.24882,TRUE
411,5391.79408,TRUE
412,5318.914545,FALSE
414,1884.181603,FALSE
415,3155.513872,FALSE
416,1813.590922,FALSE
417,5764.271652,FALSE
418,1334.726901,FALSE
419,4352.616649,TRUE
420,3029.323257,TRUE
421,3068.364757,TRUE
422,6691.950553,TRUE
423,6337.782294,TRUE
426,25581.12319,TRUE
427,7007.596146,TRUE
428,12273.30932,TRUE
430,16100.1398,TRUE
432,12644.09615,TRUE
433,13682.30368,TRUE
434,9812.312911,TRUE
435,20494.83269,TRUE
436,529.6419781,FALSE
437,882.3854684,FALSE
438,6401.572098,FALSE
439,5929.194049,FALSE
440,4362.210445,FALSE
441,5032.150568,FALSE
442,13232.50654,TRUE
443,284.0680396,FALSE
444,13203.01328,TRUE
445,7602.776421,FALSE
446,14606.93117,TRUE
447,6124.247716,FALSE
448,7280.603495,FALSE
449,4123.176314,FALSE
450,8605.153185,FALSE
453,9230.072027,FALSE
454,2634.459417,FALSE
455,3316.356978,FALSE
456,4285.247156,FALSE
457,14720.81716,TRUE
458,15092.39428,TRUE
459,26963.47309,TRUE
460,3694.212459,FALSE
461,8241.02503,FALSE
462,10043.44888,FALSE
465,8950.339557,FALSE
466,9003.665037,FALSE
467,1870.477849,FALSE
468,6869.899949,FALSE
469,4391.689277,FALSE
470,6910.050915,FALSE
471,1389.748359,FALSE
472,11590.67159,TRUE
473,4010.774559,FALSE
474,11525.06536,TRUE
476,7441.581832,FALSE
