station,SOC provided,whether_electrified,whether_electrified
415,3345.287355,FALSE,FALSE
416,2439.989344,FALSE,FALSE
417,6783.57622,FALSE,FALSE
418,1887.199262,FALSE,FALSE
419,4330.227298,TRUE,TRUE
420,3013.441254,TRUE,TRUE
421,2020.27551,TRUE,TRUE
422,8006.266973,TRUE,TRUE
423,6653.414088,TRUE,TRUE
426,27458.23704,TRUE,TRUE
427,8455.842445,TRUE,TRUE
428,12854.43659,TRUE,TRUE
430,16160.87929,TRUE,TRUE
432,12736.59798,TRUE,TRUE
433,13076.68568,TRUE,TRUE
434,9077.050243,TRUE,TRUE
435,21219.3284,TRUE,TRUE
436,423.2107345,FALSE,FALSE
437,959.3552994,FALSE,FALSE
438,7196.730723,FALSE,FALSE
439,6173.285589,FALSE,FALSE
440,4478.913944,FALSE,FALSE
441,4254.32601,FALSE,FALSE
442,15245.98281,TRUE,TRUE
443,363.6954248,FALSE,FALSE
444,14769.52919,TRUE,TRUE
445,8362.037956,FALSE,FALSE
446,15955.30581,TRUE,TRUE
447,6395.018727,FALSE,FALSE
448,7518.341033,FALSE,FALSE
449,4350.602182,FALSE,FALSE
450,7554.290252,FALSE,FALSE
453,8679.410796,FALSE,FALSE
454,3286.956968,FALSE,FALSE
455,3165.507312,FALSE,FALSE
456,4180.795114,FALSE,FALSE
457,10559.73401,FALSE,FALSE
458,9519.512088,FALSE,FALSE
459,25587.86566,TRUE,TRUE
460,3504.36124,FALSE,FALSE
461,7488.556089,FALSE,FALSE
462,11098.196,FALSE,FALSE
465,8311.990152,FALSE,FALSE
466,8816.235487,FALSE,FALSE
467,2483.091319,FALSE,FALSE
468,6837.682982,FALSE,FALSE
469,4286.900844,FALSE,FALSE
470,7518.964577,FALSE,FALSE
471,1639.395777,FALSE,FALSE
472,13442.14287,TRUE,TRUE
473,4719.951089,FALSE,FALSE
474,10378.18998,TRUE,TRUE
476,6841.105247,FALSE,FALSE
477,10357.35237,FALSE,FALSE
478,6691.827195,FALSE,FALSE
479,16677.91079,TRUE,TRUE
480,4283.151983,FALSE,FALSE
481,2037.273013,FALSE,FALSE
482,7628.682322,FALSE,FALSE
483,8819.881153,FALSE,FALSE
484,11317.04727,TRUE,TRUE
485,5947.105314,FALSE,FALSE
486,13116.5852,TRUE,TRUE
487,6064.045174,FALSE,FALSE
488,711.5402466,FALSE,FALSE
490,22914.62948,TRUE,TRUE
491,12718.31712,TRUE,TRUE
492,9198.557707,FALSE,FALSE
494,8782.661982,FALSE,FALSE
495,5388.790979,FALSE,FALSE
496,8518.075928,FALSE,FALSE
497,30861.58908,TRUE,TRUE
498,7015.209017,FALSE,FALSE
499,8991.316459,TRUE,TRUE
500,4915.309543,FALSE,FALSE
501,5771.771498,FALSE,FALSE
502,3489.749418,FALSE,FALSE
503,13670.24292,TRUE,TRUE
504,16329.43899,TRUE,TRUE
505,10968.22236,FALSE,FALSE
507,13817.18679,TRUE,TRUE
508,10712.87633,TRUE,TRUE
509,10102.79326,FALSE,FALSE
511,2152.737771,FALSE,FALSE
513,6805.517994,TRUE,TRUE
514,32710.94963,TRUE,TRUE
515,5470.290661,FALSE,FALSE
516,2161.147983,FALSE,FALSE
517,6528.30288,FALSE,FALSE
518,17540.63887,TRUE,TRUE
519,28434.33463,TRUE,TRUE
520,4641.334091,FALSE,FALSE
522,3488.103329,FALSE,FALSE
