week,ebike_return_error,lost_demand,out_of_battery_trips,ebike_trips
1,8667,58976,181,401814
2,8376,56906,194,404106
3,8370,57640,212,402423
4,7947,56838,204,402415
5,7861,57443,230,401560
6,8444,56573,405,403911
7,8405,57489,414,402988
8,8046,57931,373,402135
9,7630,57363,487,403261
10,7818,58380,540,402722
11,7695,58186,453,402370
12,8023,58048,432,402067
13,7200,57552,436,402246
14,7464,58643,455,402221
15,7784,58194,563,402507
16,7577,58387,515,401996
17,7983,58125,486,402879
18,7307,56750,599,403703
19,7818,57995,477,402320
20,8006,57658,556,402531
21,8421,58163,599,402452
22,9037,56475,655,405000
23,8428,57068,536,403237
24,7752,57507,528,402889
25,7788,59023,492,400838
26,7717,58347,451,401384
27,8082,58100,507,400995
28,8388,58571,504,401798
29,7748,58318,581,402354
30,7862,56480,535,402451
31,7802,57377,663,403701
32,7767,57423,751,402585
33,8332,56053,730,405003
34,8516,57022,568,404079
35,7842,56029,635,403532
36,7897,58131,587,401904
37,7765,55888,487,403825
38,7523,57074,528,402813
39,7660,56685,497,403215
40,7374,58126,587,401084
41,7691,58400,472,400876
42,7546,59635,544,400312
43,7924,58565,698,401968
44,8027,58723,608,400782
45,7827,58479,655,401123
46,7787,56723,700,403034
47,7805,56951,565,402799
48,7952,57436,583,401970
49,7938,57200,579,403384
50,7912,57217,710,403196
