week,ebike_return_error,lost_demand,out_of_battery_trips,ebike_trips
1,7952,60184,2246,400671
2,7970,59882,2729,401428
3,7618,58181,2619,400653
4,7681,58153,2606,401844
5,7779,57767,2596,402188
6,7668,57745,2626,402142
7,7127,58676,2795,400701
8,7801,58720,3064,401407
9,8085,58364,3136,402398
10,7796,57662,3113,402509
11,8452,57994,3251,402744
12,8269,58138,3227,402575
13,8225,56864,3164,402973
14,8291,56873,3201,404240
15,8020,57888,3015,402296
16,8072,57455,3139,403622
17,7886,57803,3243,403335
18,8233,58609,3288,402293
19,8219,57752,3208,402638
20,7599,58113,3323,402483
21,7972,57673,3245,402246
22,8149,56947,3288,403373
23,8542,57185,3260,403995
24,8216,58090,3367,402362
25,7739,58003,3378,402182
26,8158,56982,3397,403315
27,8119,57423,3343,404076
28,8107,57502,3033,402351
29,7909,57462,3158,402341
30,8017,58369,3379,401099
31,7434,58199,3194,402819
32,8065,57487,3532,403337
33,8252,58006,3386,403762
34,7957,57441,3312,403275
35,7887,57067,3328,402670
